time,x,y,vx,vy,theta,theta_dot,gamma,alpha,mass,mass_propellant,throttle,action,reward,dynamic_pressure,maximum_velocity,speed_of_sound,x_cog,lift,mass_flow,control_force_x,g_load_1_sec_window,atmospheric_pressure,CD,control_force_perpendicular,aero_force_x,CL,ug,air_density,d_thrust_cg,mach_number,control_force_y,inertia,vg,aero_force_y,mach_number_max,d_cp_cg,drag,gravity_force_y,control_force_parallel,fuel_percentage_consumed,alpha_effective,acceleration_dict_acceleration_y_component_wind,acceleration_dict_acceleration_y_component_drag,acceleration_dict_acceleration_x_component_lift,acceleration_dict_acceleration_x_component_gravity,acceleration_dict_acceleration_x_component_control,acceleration_dict_acceleration_y_component_gravity,acceleration_dict_acceleration_x_component_wind,acceleration_dict_acceleration_y_component_lift,acceleration_dict_acceleration_y_component,acceleration_dict_acceleration_x_component_drag,acceleration_dict_acceleration_y_component_control,acceleration_dict_acceleration_x_component,moment_dict_control_moment_z,moment_dict_M_wind_z,moment_dict_theta_dot_dot,moment_dict_moments_z,moment_dict_aero_moment_z
294.0749999999896,4940.045797446361,29926.095084818287,-215.93484273767922,-1022.6580710783325,1.3690572412426438,-0.11761947403736,4.5042950609769195,-3.1352378197342756,1555515.2532533985,1211233.8842030691,0.5637462735176086,0.12749259173870087,0.0017032286493781456,10134.7069789163,360.5525384783349,301.6767665788501,4.840205840968983,-1534394.4996098871,7211.2236328125,5124656.909142482,0.07441803815647019,1205.7038599639416,0.18599118790112704,0.0,1543152.4767208698,-1.408199648342606,0.0,0.018547481978947872,7.940205840968984,3.465263408528709,25437644.314842593,23677411.4953766,0.0,-118816.86351850067,8.775812438360251,-32.92703080699392,202658.6613817746,-15111969.375818271,25948715.897417072,0.7154013058989463,-0.009363198912853754,0.0,8.19492189971246e-08,0.2037901696513113,0.0,3.2945076548906456,-9.71508916046385,0.0,0.9651414248765426,6.559835399298853,0.02691605255024039,16.353195034017915,4.286063205037111,0.0,0.0,-2.136353441585842,-50583319.53599198,-50583319.53599198
294.1749999999895,4918.47629441733,29823.87383098978,-215.58063384564696,-1021.9387900850227,1.3531415019075717,-0.110493419479584,4.504484606745535,-3.151343104837964,1554774.3735536914,1210493.004503362,0.5791918039321899,0.15838366746902466,0.003405305736341531,10280.322529154993,360.47190590011076,301.6092969691733,4.840457477610564,1284628.2293074771,7408.796875,5684900.321768095,0.15361505202762138,1224.2719477861244,0.19179654498838233,0.0,-1213193.6700151302,1.1622755882192233,0.0,0.01884154385253668,7.940457477610565,3.4635016658888675,26046152.152445897,23676362.809364893,0.0,472619.5860978918,8.709008393030322,-32.92677917035234,211986.94911352213,-15105254.197137361,26659334.83072676,0.7155742010771118,0.0069570276042680845,0.0,8.580645264317776e-08,-0.17054559982556158,0.0,3.6564149875806895,-9.715399516530383,0.0,-0.8084546409899064,7.338916138848376,0.028143116091451766,16.752367800424413,2.8757703225903497,0.0,0.0,1.7885435666741505,42346206.3849327,42346206.3849327
294.2749999999894,4896.9371931061,29721.728552035293,-215.2769270266273,-1021.1611304467043,1.3533598140940795,0.07012733814165453,4.504615546987264,-3.1512557328931843,1554013.7865175586,1209732.4174672293,0.5945982336997986,0.18919645249843597,0.005106117772374652,10427.042982931784,360.39131265171034,301.5418592953342,4.840716010843248,1303554.1888941696,7605.8701171875,5950895.074709266,0.2375694205493457,1243.1212427119467,0.1918440351302937,0.0,-1231138.3739350557,1.162803474729966,0.0,0.019140192742048524,7.940716010843248,3.4615835470286513,26713329.517706677,23675285.37593441,0.0,479379.87577661814,8.642729375164452,-32.92652063711966,215065.65902422127,-15098346.759391747,27368140.71346057,0.7157517290546858,0.011383534750466495,0.0,8.71402693069362e-08,-0.17303541365491268,0.0,3.8293708372078386,-9.715709661254767,0.0,-0.8207894875483235,7.780520280819367,0.02854808460536028,17.189892232275152,3.0367679554278064,0.0,0.0,1.8162117782942488,42999332.15424966,42999332.15424966
294.3749999999893,4875.429487332581,29619.66378806433,-214.93883590104437,-1020.3433096470399,1.3695963546278263,0.16946227670391312,4.504771020784908,-3.1351746661570816,1553233.598407207,1208952.2293568777,0.6099216341972351,0.2198432981967926,0.006805589160514282,10574.852624253606,360.3107623487033,301.4744568821462,4.840981421360561,-961758.6053236788,7801.880859375,5726761.576433253,0.32625046583368933,1262.2549739310255,0.18677349761433848,0.0,984876.650501601,-0.8459216738440017,0.0,0.01944348384202453,7.940981421360561,3.459510048725543,27482792.900291864,23674179.27489565,0.0,9481.316177039873,8.576974382859449,-32.92625522660234,212349.4693790264,-15091248.053567255,28073113.538644858,0.7159338681725363,-0.00224333318969272,0.0,8.612900297117114e-08,0.12763496633318486,0.0,3.686993110570019,-9.716019579439218,0.0,0.6059002014649764,7.981783468845622,0.028180894067425744,17.69392120314331,4.32053203515911,0.0,0.0,-1.338281439097408,-31682714.709457383,-31682714.709457383
294.4749999999892,4853.965026483498,29517.68173333648,-214.46916149569466,-1019.5065257968236,1.3725124515198341,-0.05543209135235116,4.505046598013391,-3.1325341464935565,1552433.9991030078,1208152.6300526785,0.6250965595245361,0.25019317865371704,0.008503683364337369,10723.747360663381,360.23025675826034,301.4070915575664,4.841253663793326,-1623535.4789750876,7995.99267578125,5628467.808467119,0.41958256615208,1281.6768069960635,0.18617592018892629,0.0,1632941.1456451754,-1.4081651917931044,0.0,0.01975147933132504,7.941253663793326,3.4572835854611648,28215322.8988961,23673044.69464182,0.0,-124279.75516421685,8.51174090950373,-32.92598298416958,214650.39295046456,-15083959.894017695,28771237.306725644,0.7161205787330094,-0.010512740417396138,0.0,8.715702214439376e-08,0.21528831989841926,0.0,3.6255762317233664,-9.716329262779071,0.0,1.0234004997901696,8.37617996499698,0.028463635727267123,18.17489369287122,4.67683267711784,0.0,0.0,-2.261130604121215,-53527845.85178398,-53527845.85178398
294.57499999998913,4832.546664786496,29415.78644998485,-214.03937504716055,-1018.6146914931827,1.3567915400767188,-0.15013865256274717,4.505274282995983,-3.1484827429192643,1551615.2664980274,1207333.897447698,0.6400542259216309,0.2801084816455841,0.010200332745623746,10873.709039603053,360.1497991244148,301.3397654392802,4.841532663145741,1361550.6941130802,8187.32568359375,6148333.623523758,0.5175623166035682,1301.3903491721605,0.1920103027835597,0.0,-1286277.9435426039,1.1646475117028323,0.0,0.020064240538655447,7.9415326631457415,3.454904467292046,28810608.78907428,23671881.94700418,0.0,499697.31908536685,8.447026709540507,-32.92570398481716,224472.86273730904,-15076484.948518107,29459348.009472933,0.7163118006196464,0.003108281340069574,0.0,9.12459366016973e-08,-0.18044767329907102,0.0,3.9625374642004236,-9.716638701645099,0.0,-0.858751577964086,9.171059007605308,0.029749612684171634,18.56813954537802,3.1331313153178812,0.0,0.0,1.8947699932865716,44852771.59780563,44852771.59780563
294.67499999998904,4811.163527479453,29313.98487661938,-213.7054019395606,-1017.6564624767558,1.3537168650500122,0.04125420827946963,4.5053990968478015,-3.151682231797789,1550777.6286196094,1206496.25956928,0.6548337340354919,0.3096674978733063,0.011895421770190888,11024.711156434161,360.06939496665325,301.27248295681,4.841818349791689,1381289.7076086535,8376.37890625,6521698.322659133,0.6201534699368473,1321.3985363529305,0.19207370296329798,0.0,-1304999.9349641397,1.1653488474655491,0.0,0.020381818206816164,7.9418183497916885,3.452372743883517,29425186.121826407,23670691.321404748,0.0,506722.6945204759,8.382831711114315,-32.925418298171216,227665.2434011426,-15068825.38424406,30139245.632827315,0.7165074773330139,0.011089145845483372,0.0,9.26460360256602e-08,-0.1830537864526143,0.0,4.205437454281746,-9.71694787579393,0.0,-0.871694711849296,9.58167170082253,0.030171067386279674,18.974471632027985,3.363470009473364,0.0,0.0,1.924737506478692,45559867.39058739,45559867.39058739
294.77499999998895,4789.814667229973,29212.281798315875,-213.34826712381974,-1016.6573892242084,1.3686896632675805,0.18482165154482286,4.505537897971381,-3.136848234703801,1549921.2296938282,1205639.8606434988,0.6695004105567932,0.33900079131126404,0.013588870762163287,11176.742077203144,359.9890481085255,301.20524773035555,4.842110680053321,-50251.01952326673,8563.9892578125,6324804.063242992,0.7273026597173484,1341.704528339445,0.18875613711131495,0.0,95773.83553635684,-0.041818460779279754,0.0,0.020704266688213947,7.942110680053322,3.4496906508088956,30157845.400884576,23669472.99909088,0.0,211657.82958590312,8.3191549908456,-32.92512596790958,226818.20790058412,-15060982.560220275,30813938.171906393,0.7167075700680635,-0.00017261573591742518,0.0,9.240606528743299e-08,0.006658732462103266,0.0,4.080726131154676,-9.717256768716837,0.0,0.03173051111090357,9.874260600112013,0.030055544708787726,19.45766328192173,4.141946691299421,0.0,0.0,-0.06995551699279032,-1655810.2205982937,-1655810.2205982937
294.87499999998886,4768.511990212246,29110.679499465725,-212.83530309566467,-1015.6418877774461,1.3723465813770233,-0.05281001123936163,4.505820701564307,-3.1334741201872838,1549044.4961733203,1204763.127122991,0.6853971481323242,0.37079423666000366,0.015280641684341326,11329.72716295734,359.90876040111357,301.1380617116166,4.842410060247413,-1715223.7765038428,8767.3349609375,6178293.895688937,0.8393479291169681,1362.311991300808,0.18642050235353805,0.0,1725324.147225422,-1.4081202104998074,0.0,0.021031648440704293,7.942410060247413,3.4468502529601834,30934265.888322584,23668225.28584504,0.0,-129666.9972056982,8.255993999368098,-32.924826587715486,227077.82736183004,-15052941.155053353,31545207.583893713,0.7169123476102484,-0.009508824764377088,0.0,9.262207741799393e-08,0.22710543656106977,0.0,3.988454760951978,-9.717565371581877,0.0,1.0837384163177606,10.165814906200058,0.030066402893192484,19.96990142293588,5.101531874285249,0.0,0.0,-2.3889405848909036,-56541983.957696326,-56541983.957696326
294.97499999998877,4747.259276710618,29009.182221781222,-212.37238344904037,-1014.564731205371,1.3571677804981757,-0.13571424829998477,4.5060446657191076,-3.1488768852209317,1548146.8630556446,1203865.4940053152,0.7017357349395752,0.4034714102745056,0.01697066390834751,11483.588121910469,359.8285352446428,301.0709269972648,4.842716785688736,1441711.038786079,8976.3310546875,6740031.023532687,0.9564913241538825,1383.2245668665573,0.19228886990488087,0.0,-1362472.0226305171,1.1677207874713216,0.0,0.021364025605177774,7.942716785688736,3.4438437336225185,31585675.12470502,23666946.94997603,0.0,527790.4402614738,8.193346306557213,-32.92451986227417,237406.912124852,-15044695.645365557,32296793.823560763,0.7171220019307422,0.0038638618951258863,0.0,9.695204853259451e-08,-0.19079732935211635,0.0,4.353612169732783,-9.717873674898769,0.0,-0.9114944138453933,11.02228481259181,0.0314186432541254,20.402247279281376,3.4730423513124453,0.0,0.0,2.00691248157876,47497491.234769255,47497491.234769255
