swarm_idx,best_fitness,avg_fitness,min_fitness,max_fitness,std_fitness,num_particles,generation,global_best_fitness,global_avg_fitness
0,18749.1654081301,27394.99920188444,18749.1654081301,29200.32170660977,2049.6837955659503,100,0,18749.1654081301,27599.13769939971
0,18748.810596701,27430.611710633155,18748.810596701,29200.315537890216,2410.606619208233,100,1,18748.810596701,27039.383434751173
0,18748.810596701,26199.176388896405,18748.928463879485,29192.48081880513,2648.9192604800937,100,2,18598.919345278642,26309.98180832401
0,18748.810596701,26518.286212203875,18748.820773965424,29200.327052104796,2672.0038844063833,100,3,18030.713909421098,26392.311327855365
0,18748.810596701,26375.12486052925,18749.356736942384,29200.329673840843,2568.6390721619746,100,4,18030.713909421098,26310.068615626264
0,18748.810596701,25992.3632473629,18749.434914759175,29200.327888989068,2693.5782320253493,100,5,18030.713909421098,26373.11388721106
0,18748.810596701,26090.270238497444,18749.385441877697,29200.32170997286,2630.12615596447,100,6,18030.713909421098,26402.4713830477
0,18748.463954444316,26428.252250824735,18748.463954444316,29200.314104260044,2304.3842859578963,100,7,18030.713909421098,26319.46136612759
0,18201.72491786793,27293.90770631856,18201.72491786793,29200.321710002623,2299.4874517778508,100,8,17681.94582427116,26841.211299153492
0,18201.72491786793,26989.539532771767,18859.593013378475,28796.2812973389,2059.957750934577,100,9,17681.94582427116,26455.721812065443
0,18201.72491786793,26739.171023423514,21416.59475877921,29190.97173784065,1923.6853548113515,100,10,17681.94582427116,26631.67657580902
0,17905.475395747326,26685.575124263774,17905.475395747326,29197.688419575705,2420.664333617632,100,11,17662.179273414094,26356.312896184063
0,17905.475395747326,26386.79595293528,18205.474423107247,29200.321628978163,2566.0857235380913,100,12,17662.179273414094,26220.266498323046
0,17905.475395747326,26818.32598079053,17972.965192888423,29200.321709975764,2170.074948784635,100,13,17662.179273414094,26523.841504491887
0,15290.00505801678,26517.533689508902,15290.00505801678,29200.32170997572,2679.7728719601005,100,14,15290.00505801678,26085.00614093803
0,15290.00505801678,26804.43641164428,18519.533255318274,28796.297974925415,2462.3819263331243,100,15,15290.00505801678,26354.282441961746
0,15290.00505801678,26664.928390067464,17632.32933938221,29200.32170997286,2434.572144780606,100,16,15290.00505801678,26405.9298753053
0,15290.00505801678,27075.809712018414,17649.579742852,29200.322007994277,2444.197842361588,100,17,15290.00505801678,26641.835181803726
0,15290.00505801678,26675.956873925756,17460.23738670958,29200.32170867961,2574.43231185519,100,18,15290.00505801678,26629.19183874682
0,15290.00505801678,26836.48964647211,18748.805003028945,29200.329296814547,2134.9547149136315,100,19,15290.00505801678,26397.698054139895
0,15290.00505801678,26747.306361322757,16276.64445556118,29200.32669059581,2814.8858111737522,100,20,15290.00505801678,26288.22611328062
0,15290.00505801678,26743.263030085785,15583.360733620437,29199.914568808974,2726.55703566722,100,21,15290.00505801678,26518.817340839058
0,15290.00505801678,26667.56224105344,15880.693671991165,29200.32170997324,2673.9497423172784,100,22,15290.00505801678,26711.947949558617
0,15290.00505801678,26776.209180172835,15303.967959947495,29200.321433244302,2649.4785292107863,100,23,15290.00505801678,26651.40130904447
