swarm_idx,best_fitness,avg_fitness,min_fitness,max_fitness,std_fitness,num_particles,generation,global_best_fitness,global_avg_fitness
1,18753.874689249707,27803.276196914994,18753.874689249707,29200.32210085783,1702.16790586978,100,0,18749.1654081301,27599.13769939971
1,18750.630786520047,26648.15515886919,18750.630786520047,29200.318127148545,2787.773163665014,100,1,18748.810596701,27039.383434751173
1,18598.919345278642,26420.78722775162,18598.919345278642,29200.317421495685,3166.827319645489,100,2,18598.919345278642,26309.98180832401
1,18030.713909421098,26266.336443506858,18030.713909421098,29200.314104260044,2731.7021097699176,100,3,18030.713909421098,26392.311327855365
1,18030.713909421098,26245.012370723285,18755.87138114941,29200.322740162712,2404.7650776414657,100,4,18030.713909421098,26310.068615626264
1,18030.713909421098,26753.86452705922,18758.58840681256,28790.55408799045,2075.77121421896,100,5,18030.713909421098,26373.11388721106
1,18030.713909421098,26714.672527597966,18749.397065842037,29192.645265025247,2364.6722010766816,100,6,18030.713909421098,26402.4713830477
1,18030.713909421098,26210.67048143045,18748.31278200828,29200.314103146447,2771.906065164093,100,7,18030.713909421098,26319.46136612759
1,17681.94582427116,26388.51489198842,17681.94582427116,29200.314104260044,3028.103736679704,100,8,17681.94582427116,26841.211299153492
1,17681.94582427116,25921.904091359127,17973.184579611097,29200.314104260135,3243.6090825688366,100,9,17681.94582427116,26455.721812065443
1,17681.94582427116,26524.182128194523,18216.49961324202,29200.314107898084,2256.107692398358,100,10,17681.94582427116,26631.67657580902
1,17662.179273414094,26027.050668104355,17662.179273414094,28796.196702670713,2832.8646840535253,100,11,17662.179273414094,26356.312896184063
1,17662.179273414094,26053.737043710822,18454.240427446326,29191.862189368163,2730.9530475919782,100,12,17662.179273414094,26220.266498323046
1,17662.179273414094,26229.35702819324,18557.37127668192,29200.31406194991,2546.709189254714,100,13,17662.179273414094,26523.841504491887
1,17661.375358132445,25652.478592367148,17661.375358132445,28765.22811323726,3127.760607831505,100,14,15290.00505801678,26085.00614093803
1,17661.375358132445,25904.128472279208,18226.080945494305,29200.314104260044,3140.488017138234,100,15,15290.00505801678,26354.282441961746
1,17661.375358132445,26146.931360543138,17930.004583614464,29200.22669738096,2611.152896368337,100,16,15290.00505801678,26405.9298753053
1,17655.812101107196,26207.860651589035,17655.812101107196,29190.86920114256,2720.4459221158704,100,17,15290.00505801678,26641.835181803726
1,17655.812101107196,26582.426803567883,18305.338504018382,29200.298410554315,2184.5709878984417,100,18,15290.00505801678,26629.19183874682
1,17655.812101107196,25958.90646180767,17668.9920389038,29200.31411348321,3041.3919185758728,100,19,15290.00505801678,26397.698054139895
1,17655.812101107196,25829.145865238486,17656.254541857117,29200.314284039687,2949.248337966167,100,20,15290.00505801678,26288.22611328062
1,17655.812101107196,26294.371651592337,18271.756088710325,28796.009852583873,2341.046959736096,100,21,15290.00505801678,26518.817340839058
1,17642.883259423863,26756.333658063784,17642.883259423863,29200.314096624385,2399.3701385933377,100,22,15290.00505801678,26711.947949558617
1,17417.899944056902,26526.59343791612,17417.899944056902,29200.3141351494,2484.840768473892,100,23,15290.00505801678,26651.40130904447
1,17417.899944056902,27327.272919895528,19930.07349174185,29200.314104260044,1981.7655615206381,100,24,15290.00505801678,26851.20411409503
1,17417.899944056902,26997.278653310714,17940.12058544062,29200.314104363915,2711.141394811217,100,25,15290.00505801678,26477.469544986827
1,17417.899944056902,26449.981670792866,18220.316121489268,28774.347126549408,2739.860280185159,100,26,15290.00505801678,26535.715526127555
1,17417.899944056902,26217.68789333243,17650.108777331294,29183.392576621347,2679.1869017621193,100,27,15290.00505801678,26233.44187156723
1,17417.899944056902,26697.775675729466,18478.734827764438,29200.280334061456,2260.8803363764127,100,28,15290.00505801678,26501.41514511453
1,17417.899944056902,27169.243354195183,18252.476223254314,29200.314104260044,2063.762059159662,100,29,15290.00505801678,26619.527472647304
1,17365.277245660902,26522.168433278,17365.277245660902,29200.31410436893,3022.194648821461,100,30,15046.913218925069,26289.54744628257
1,17365.277245660902,26502.054154162342,17899.246339840945,29200.314104260044,2838.7217839949303,100,31,15044.484685324513,26312.183680369173
1,17365.277245660902,26421.549833926954,18528.309502356075,29195.746132442455,2481.2551950169523,100,32,15044.484685324513,26229.794628825523
1,17365.277245660902,25990.90384854964,17957.001316535134,29200.313560401253,2811.107904710183,100,33,15044.484685324513,26212.25370167887
1,17365.277245660902,26186.82686640789,17436.74772791338,29200.314674654328,3059.6807104875015,100,34,15044.484685324513,25964.84412445943
1,17365.277245660902,27036.296634239065,18761.748601044885,29200.314104303936,2417.9423869611687,100,35,15044.484685324513,26655.320629301816
1,17365.277245660902,26752.990071522643,17903.42917388441,29200.324279401924,2705.67928115622,100,36,15044.484685324513,26421.474364282287
1,17365.277245660902,26204.877254489016,17906.151383044577,29200.32172444813,2994.4264895251645,100,37,15044.484685324513,26121.02547446208
1,17365.277245660902,26123.353530628276,17375.768843322014,28776.655411963377,2890.513607898357,100,38,15044.484685324513,25982.490606063722
1,17365.277245660902,26218.403475066138,17423.010173044808,29200.26875612311,2960.304910750039,100,39,15044.484685324513,25736.968595754737
1,17365.277245660902,27007.171936781924,17405.8564091358,29200.314103085922,2418.4762747482237,100,40,15044.484685324513,26629.442485150554
1,17365.277245660902,26762.11742592711,17385.48853360817,29200.314105545167,2851.4977180010137,100,41,15044.484685324513,26149.11002767466
1,17365.277245660902,26220.74083495487,18474.057678982623,28796.280804436687,3180.443543737821,100,42,15044.484685324513,25832.285031357136
